STATEFP,ELSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,UNSDLEA,layer,path
"41","03600","4103600",Harney County School District 4,"00",KG,"08",G5400,,E,"5278048439","210793901","+43.2518663","-118.8745532",,tl_2019_41_elsd,E:/Downloads/tl_2019_41_elsd/tl_2019_41_elsd.shp
"41","04170","4104170",Diamond School District 7,"00",KG,"08",G5400,,E,"1630525834","825382","+42.9659106","-118.6061945",,tl_2019_41_elsd,E:/Downloads/tl_2019_41_elsd/tl_2019_41_elsd.shp
"41","04290","4104290",Double O School District 28,"00",KG,"08",G5400,,E,"571817653","5759643","+43.2992738","-119.2819339",,tl_2019_41_elsd,E:/Downloads/tl_2019_41_elsd/tl_2019_41_elsd.shp
"41","04380","4104380",Drewsey School District 13,"00",KG,"08",G5400,,E,"970489133","8441028","+43.8674392","-118.4093731",,tl_2019_41_elsd,E:/Downloads/tl_2019_41_elsd/tl_2019_41_elsd.shp
"41","05020","4105020",South Harney School District 33,"00",KG,"08",G5400,,E,"4420915207","3548745","+42.4190406","-118.4795823",,tl_2019_41_elsd,E:/Downloads/tl_2019_41_elsd/tl_2019_41_elsd.shp
"41","05310","4105310",Frenchglen School District 16,"00",KG,"08",G5400,,E,"5907057869","5484439","+42.5195585","-119.1206821",,tl_2019_41_elsd,E:/Downloads/tl_2019_41_elsd/tl_2019_41_elsd.shp
"41","06960","4106960",Juntura School District 12,"00",KG,"12",G5400,,E,"1862981754","14894992","+43.7089031","-118.0359276",,tl_2019_41_elsd,E:/Downloads/tl_2019_41_elsd/tl_2019_41_elsd.shp
"41","09690","4109690",Pine Creek School District 5,"00",KG,"08",G5400,,E,"759934310","657591","+43.9158286","-118.6361989",,tl_2019_41_elsd,E:/Downloads/tl_2019_41_elsd/tl_2019_41_elsd.shp
"41","11910","4111910",Suntex School District 10,"00",KG,"08",G5400,,E,"3319225914","3422387","+43.4340605","-119.6612906",,tl_2019_41_elsd,E:/Downloads/tl_2019_41_elsd/tl_2019_41_elsd.shp
"41",,"4100003",Falls City School District 57,"00",KG,"12",G5420,,E,"355145416","1906474","+44.8317294","-123.6091855","00003",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4100014",Vale School District 84,"00",KG,"12",G5420,,E,"1699591455","3183199","+44.1197475","-117.4294416","00014",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4100015",Gervais School District 1,"00",KG,"12",G5420,,E,"179558776","1858348","+45.0804800","-122.9424527","00015",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4100016",Yamhill-Carlton School District 1,"00",KG,"12",G5420,,E,"478364493","889596","+45.3575371","-123.2777040","00016",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
