district,fem_prcnt,male_prcnt
ADEL SCHOOL DISTRICT 21,46.77%,53.23%
ADRIAN SCHOOL DISTRICT 61,49.92%,50.08%
ALSEA SCHOOL DISTRICT 7J,47.86%,52.14%
AMITY SCHOOL DISTRICT 4J,50.71%,49.29%
ANNEX SCHOOL DISTRICT 29,46.83%,53.17%
ARLINGTON SCHOOL DISTRICT 3,46.33%,53.67%
AROCK SCHOOL DISTRICT 81,50.63%,49.37%
ASHLAND SCHOOL DISTRICT 5,52.90%,47.10%
ASHWOOD SCHOOL DISTRICT 8,51.35%,48.65%
ASTORIA SCHOOL DISTRICT 1,50.33%,49.67%
ATHENA-WESTON SCHOOL DISTRICT 29J,51.78%,48.22%
BAKER SCHOOL DISTRICT 5J,50.84%,49.16%
BANDON SCHOOL DISTRICT 54,50.36%,49.64%
BANKS SCHOOL DISTRICT 13,48.71%,51.29%
BEAVERTON SCHOOL DISTRICT 48J,51.07%,48.93%
BEND-LA PINE ADMINISTRATIVE SCHOOL DISTRICT 1,49.68%,50.32%
BETHEL SCHOOL DISTRICT 52,50.69%,49.31%
BLACHLY SCHOOL DISTRICT 090,47.17%,52.83%
BLACK BUTTE SCHOOL DISTRICT 41,48.18%,51.82%
BROOKINGS-HARBOR SCHOOL DISTRICT 17,50.13%,49.87%
BURNT RIVER SCHOOL DISTRICT 30J,43.69%,56.31%
BUTTE FALLS SCHOOL DISTRICT 91,47.40%,52.60%
CAMAS VALLEY SCHOOL DISTRICT 21J,49.28%,50.72%
CANBY SCHOOL DISTRICT 86,51.30%,48.70%
CASCADE SCHOOL DISTRICT 5,51.59%,48.41%
CENTENNIAL SCHOOL DISTRICT 28J,51.14%,48.86%
CENTRAL CURRY SCHOOL DISTRICT 1,48.44%,51.56%
CENTRAL LINN SCHOOL DISTRICT 552,50.62%,49.38%
CENTRAL POINT SCHOOL DISTRICT 6,50.60%,49.40%
CENTRAL SCHOOL DISTRICT 13J,51.48%,48.52%
CLATSKANIE SCHOOL DISTRICT 6J,49.83%,50.17%
COLTON SCHOOL DISTRICT 53,49.01%,50.99%
CONDON SCHOOL DISTRICT 25J,50.00%,50.00%
COOS BAY SCHOOL DISTRICT 9,50.52%,49.48%
COQUILLE SCHOOL DISTRICT 8,51.11%,48.89%
CORBETT SCHOOL DISTRICT 39,49.54%,50.46%
CORVALLIS SCHOOL DISTRICT 509J,51.37%,48.63%
COVE SCHOOL DISTRICT 15,52.47%,47.53%
CRESWELL SCHOOL DISTRICT 40,50.98%,49.02%
CROOK COUNTY SCHOOL DISTRICT,49.82%,50.18%
CROW-APPLEGATE-LORANE SD 66,49.58%,50.42%
CULVER SCHOOL DISTRICT 4,49.36%,50.64%
DALLAS SCHOOL DISTRICT 2,52.04%,47.96%
DAVID DOUGLAS SCHOOL DISTRICT 40,50.78%,49.22%
DAYS CREEK SCHOOL DISTRICT 15,49.31%,50.69%
DAYTON SCHOOL DISTRICT 8,50.90%,49.10%
DAYVILLE SCHOOL DISTRICT 16J,46.96%,53.04%
DIAMOND SCHOOL DISTRICT 7,51.02%,48.98%
DOUBLE O SCHOOL DISTRICT 28,44.44%,55.56%
DREWSEY SCHOOL DISTRICT 13,48.84%,51.16%
DUFUR SCHOOL DISTRICT 29,49.73%,50.27%
EAGLE POINT SCHOOL DISTRICT 9,50.00%,50.00%
ECHO SCHOOL DISTRICT 5,47.66%,52.34%
ELGIN SCHOOL DISTRICT 23,49.97%,50.03%
ELKTON SCHOOL DISTRICT 34,50.06%,49.94%
ENTERPRISE SCHOOL DISTRICT 21,49.85%,50.15%
ESTACADA SCHOOL DISTRICT 108,49.49%,50.51%
EUGENE SCHOOL DISTRICT 4J,51.67%,48.33%
