district,avg_age,voter_count,CONSTITUTION,CONSTITUTION_%,DEMOCRAT,DEMOCRAT_%,INDEPENDENT,INDEPENDENT_%,LIBERTARIAN,LIBERTARIAN_%,NONAFFILIATED,NONAFFILIATED_%,OTHER,OTHER_%,PACIFIC_GREEN,PACIFIC_GREEN_%,PROGRESSIVE,PROGRESSIVE_%,REPUBLICAN,REPUBLICAN_%,WORKING_FAMILIES PARTY_OF_OREGON,WORKING_FAMILIES_PARTY_%
ADEL SCHOOL DISTRICT 21,50.75,92,,0.00%,1,1.09%,6,6.52%,,0.00%,20,21.74%,,0.00%,,0.00%,,0.00%,65,70.65%,,0.00%
ADRIAN SCHOOL DISTRICT 61,53.14,938,5,0.53%,90,9.59%,24,2.56%,2,0.21%,381,40.62%,4,0.43%,,0.00%,,0.00%,430,45.84%,2,0.21%
ALSEA SCHOOL DISTRICT 7J,54.04,786,,0.00%,187,23.79%,43,5.47%,4,0.51%,270,34.35%,6,0.76%,1,0.13%,1,0.13%,273,34.73%,1,0.13%
AMITY SCHOOL DISTRICT 4J,49.68,3742,8,0.21%,902,24.10%,168,4.49%,28,0.75%,1310,35.01%,27,0.72%,5,0.13%,4,0.11%,1277,34.13%,13,0.35%
ANNEX SCHOOL DISTRICT 29,53.73,302,,0.00%,45,14.90%,16,5.30%,1,0.33%,142,47.02%,,0.00%,,0.00%,,0.00%,98,32.45%,,0.00%
ARLINGTON SCHOOL DISTRICT 3,51.75,755,3,0.40%,113,14.97%,45,5.96%,7,0.93%,301,39.87%,6,0.79%,1,0.13%,,0.00%,275,36.42%,4,0.53%
AROCK SCHOOL DISTRICT 81,53.06,111,,0.00%,8,7.21%,1,0.90%,1,0.90%,20,18.02%,,0.00%,,0.00%,,0.00%,81,72.97%,,0.00%
ASHLAND SCHOOL DISTRICT 5,51.41,23862,15,0.06%,13036,54.63%,936,3.92%,192,0.80%,7009,29.37%,148,0.62%,207,0.87%,26,0.11%,2262,9.48%,31,0.13%
ASHWOOD SCHOOL DISTRICT 8,57.57,47,1,2.13%,9,19.15%,6,12.77%,,0.00%,12,25.53%,,0.00%,,0.00%,,0.00%,19,40.43%,,0.00%
ASTORIA SCHOOL DISTRICT 1,50.74,12663,22,0.17%,4552,35.95%,562,4.44%,93,0.73%,4719,37.27%,73,0.58%,56,0.44%,12,0.09%,2547,20.11%,27,0.21%
ATHENA-WESTON SCHOOL DISTRICT 29J,52.05,2449,3,0.12%,390,15.92%,115,4.70%,13,0.53%,945,38.59%,30,1.22%,4,0.16%,4,0.16%,939,38.34%,6,0.24%
BAKER SCHOOL DISTRICT 5J,53.25,12373,31,0.25%,2104,17.00%,613,4.95%,68,0.55%,4098,33.12%,35,0.28%,23,0.19%,3,0.02%,5365,43.36%,33,0.27%
BANDON SCHOOL DISTRICT 54,57.59,6223,11,0.18%,1705,27.40%,305,4.90%,45,0.72%,2352,37.80%,27,0.43%,25,0.40%,5,0.08%,1734,27.86%,14,0.22%
BANKS SCHOOL DISTRICT 13,49.14,5198,9,0.17%,1334,25.66%,177,3.41%,45,0.87%,1696,32.63%,16,0.31%,5,0.10%,1,0.02%,1906,36.67%,9,0.17%
BEAVERTON SCHOOL DISTRICT 48J,47.04,202510,168,0.08%,79235,39.13%,8184,4.04%,1542,0.76%,73751,36.42%,593,0.29%,476,0.24%,159,0.08%,37758,18.65%,644,0.32%
BEND-LA PINE ADMINISTRATIVE SCHOOL DISTRICT 1,50.02,111782,136,0.12%,35230,31.52%,6478,5.80%,920,0.82%,38728,34.65%,763,0.68%,302,0.27%,84,0.08%,29006,25.95%,135,0.12%
BETHEL SCHOOL DISTRICT 52,49.22,32392,50,0.15%,10745,33.17%,1500,4.63%,250,0.77%,12098,37.35%,319,0.98%,106,0.33%,25,0.08%,7177,22.16%,122,0.38%
BLACHLY SCHOOL DISTRICT 090,52.39,569,2,0.35%,175,30.76%,24,4.22%,6,1.05%,194,34.09%,7,1.23%,1,0.18%,1,0.18%,158,27.77%,1,0.18%
BLACK BUTTE SCHOOL DISTRICT 41,58.58,305,,0.00%,122,40.00%,14,4.59%,,0.00%,85,27.87%,1,0.33%,3,0.98%,,0.00%,80,26.23%,,0.00%
BROOKINGS-HARBOR SCHOOL DISTRICT 17,57,13481,23,0.17%,2932,21.75%,764,5.67%,105,0.78%,5320,39.46%,52,0.39%,26,0.19%,8,0.06%,4224,31.33%,27,0.20%
BURNT RIVER SCHOOL DISTRICT 30J,59.22,305,1,0.33%,25,8.20%,7,2.30%,3,0.98%,77,25.25%,2,0.66%,,0.00%,,0.00%,190,62.30%,,0.00%
BUTTE FALLS SCHOOL DISTRICT 91,53.77,1049,2,0.19%,185,17.64%,72,6.86%,8,0.76%,394,37.56%,9,0.86%,,0.00%,,0.00%,374,35.65%,5,0.48%
CAMAS VALLEY SCHOOL DISTRICT 21J,52.99,719,1,0.14%,133,18.50%,38,5.29%,6,0.83%,229,31.85%,8,1.11%,,0.00%,1,0.14%,302,42.00%,1,0.14%
CANBY SCHOOL DISTRICT 86,53.05,25343,33,0.13%,7052,27.83%,1232,4.86%,154,0.61%,7425,29.30%,192,0.76%,39,0.15%,4,0.02%,9164,36.16%,48,0.19%
CASCADE SCHOOL DISTRICT 5,50.7,12035,15,0.12%,2532,21.04%,558,4.64%,63,0.52%,4175,34.69%,72,0.60%,14,0.12%,10,0.08%,4569,37.96%,27,0.22%
CENTENNIAL SCHOOL DISTRICT 28J,48.11,33769,41,0.12%,11715,34.69%,1230,3.64%,222,0.66%,13386,39.64%,419,1.24%,97,0.29%,36,0.11%,6328,18.74%,295,0.87%
CENTRAL CURRY SCHOOL DISTRICT 1,57.35,5085,6,0.12%,1195,23.50%,315,6.19%,41,0.81%,1919,37.74%,24,0.47%,11,0.22%,1,0.02%,1564,30.76%,9,0.18%
CENTRAL LINN SCHOOL DISTRICT 552,50.99,4382,6,0.14%,930,21.22%,178,4.06%,30,0.68%,1396,31.86%,23,0.52%,12,0.27%,5,0.11%,1790,40.85%,12,0.27%
CENTRAL POINT SCHOOL DISTRICT 6,51.45,26177,60,0.23%,5100,19.48%,1371,5.24%,213,0.81%,9393,35.88%,175,0.67%,29,0.11%,17,0.06%,9761,37.29%,58,0.22%
CENTRAL SCHOOL DISTRICT 13J,46.02,16083,27,0.17%,4983,30.98%,788,4.90%,130,0.81%,5887,36.60%,44,0.27%,61,0.38%,12,0.07%,4100,25.49%,51,0.32%
CLATSKANIE SCHOOL DISTRICT 6J,51.48,4425,14,0.32%,1147,25.92%,200,4.52%,39,0.88%,1779,40.20%,40,0.90%,6,0.14%,2,0.05%,1189,26.87%,8,0.18%
COLTON SCHOOL DISTRICT 53,50.97,3758,1,0.03%,865,23.02%,161,4.28%,30,0.80%,1264,33.63%,36,0.96%,10,0.27%,5,0.13%,1370,36.46%,16,0.43%
CONDON SCHOOL DISTRICT 25J,55.94,928,2,0.22%,208,22.41%,34,3.66%,5,0.54%,256,27.59%,8,0.86%,2,0.22%,,0.00%,408,43.97%,5,0.54%
COOS BAY SCHOOL DISTRICT 9,52.26,22040,42,0.19%,5680,25.77%,1134,5.15%,140,0.64%,9046,41.04%,142,0.64%,54,0.25%,16,0.07%,5724,25.97%,62,0.28%
COQUILLE SCHOOL DISTRICT 8,54.16,5735,16,0.28%,1243,21.67%,291,5.07%,27,0.47%,2190,38.19%,32,0.56%,14,0.24%,2,0.03%,1900,33.13%,20,0.35%
CORBETT SCHOOL DISTRICT 39,50.97,3525,5,0.14%,1152,32.68%,165,4.68%,27,0.77%,1061,30.10%,38,1.08%,16,0.45%,2,0.06%,1047,29.70%,12,0.34%
CORVALLIS SCHOOL DISTRICT 509J,46.64,47599,31,0.07%,22077,46.38%,1888,3.97%,375,0.79%,14705,30.89%,185,0.39%,271,0.57%,39,0.08%,7974,16.75%,54,0.11%
COVE SCHOOL DISTRICT 15,54.39,1367,3,0.22%,244,17.85%,59,4.32%,8,0.59%,344,25.16%,18,1.32%,1,0.07%,,0.00%,688,50.33%,2,0.15%
CRESWELL SCHOOL DISTRICT 40,50.36,7747,7,0.09%,1984,25.61%,373,4.81%,49,0.63%,2751,35.51%,52,0.67%,16,0.21%,12,0.15%,2481,32.03%,22,0.28%
CROOK COUNTY SCHOOL DISTRICT,53.17,21335,43,0.20%,3932,18.43%,1160,5.44%,114,0.53%,7280,34.12%,180,0.84%,24,0.11%,4,0.02%,8552,40.08%,45,0.21%
CROW-APPLEGATE-LORANE SD 66,54.9,1940,6,0.31%,640,32.99%,82,4.23%,19,0.98%,572,29.48%,13,0.67%,7,0.36%,1,0.05%,598,30.82%,2,0.10%
